# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060920013868570e+09 9.937046192517746022e+03 1.006590438354740945e+04 5.218340319774401723e+04 2.000000000000000000e+00
1.749060920070077896e+09 9.915015204343097139e+03 9.951142903284440763e+03 5.219054712130544794e+04 0.000000000000000000e+00
1.749060920070077896e+09 1.115854927611029598e+04 1.067737421821105090e+04 5.146817913062545995e+04 1.000000000000000000e+00
1.749060920070077896e+09 9.986446619944934355e+03 1.006385687497763320e+04 5.217416477802403824e+04 2.000000000000000000e+00
1.749060920126287460e+09 9.916559228166783214e+03 9.955884117946206970e+03 5.218960705601855443e+04 0.000000000000000000e+00
1.749060920126287460e+09 1.116964227331525763e+04 1.073631423365030241e+04 5.145101378812274925e+04 1.000000000000000000e+00
1.749060920126287460e+09 9.978980426659922159e+03 1.004362599671083626e+04 5.217716002529839898e+04 2.000000000000000000e+00
1.749060920182497025e+09 9.913177623735678935e+03 9.950702039127199896e+03 5.219089622252643312e+04 0.000000000000000000e+00
1.749060920182497025e+09 1.143787858059476275e+04 1.075173829063418270e+04 5.147582374338964291e+04 1.000000000000000000e+00
1.749060920182497025e+09 9.974070490169024197e+03 1.007007236131604259e+04 5.217567051091667963e+04 2.000000000000000000e+00
1.749060920238706589e+09 9.917151387213325506e+03 9.952189747645692478e+03 5.219136951101186423e+04 0.000000000000000000e+00
1.749060920238706589e+09 1.129301585385987164e+04 1.072859089152080924e+04 5.144033745785553037e+04 1.000000000000000000e+00
1.749060920238706589e+09 1.000724725669242252e+04 1.006150004260236346e+04 5.217189215296071052e+04 2.000000000000000000e+00
1.749060920294916153e+09 9.914353358752599888e+03 9.954959180871263015e+03 5.219402838562690158e+04 0.000000000000000000e+00
1.749060920294916153e+09 1.135233457351810830e+04 1.057577040808515812e+04 5.151929166160086606e+04 1.000000000000000000e+00
1.749060920294916153e+09 9.997970064702089076e+03 1.005671723794388890e+04 5.217566866296733497e+04 2.000000000000000000e+00
1.749060920351179123e+09 9.919355980254395035e+03 9.953507208473860373e+03 5.219113802663909155e+04 0.000000000000000000e+00
1.749060920351179123e+09 1.112575792248935431e+04 1.052113336822427300e+04 5.167016152516267175e+04 1.000000000000000000e+00
1.749060920351179123e+09 1.001788701762576420e+04 1.005786374799448095e+04 5.216883887509192573e+04 2.000000000000000000e+00
1.749060920407388687e+09 9.917561977055434909e+03 9.957365541856173877e+03 5.219085455572384672e+04 0.000000000000000000e+00
1.749060920407388687e+09 1.097077327319264441e+04 1.057999773470498258e+04 5.171647430604606052e+04 1.000000000000000000e+00
1.749060920407388687e+09 9.990390624381561793e+03 1.005196824843590730e+04 5.217492772544905893e+04 2.000000000000000000e+00
1.749060920463598013e+09 9.918940105083858725e+03 9.960717072986200947e+03 5.219158853580221330e+04 0.000000000000000000e+00
1.749060920463598013e+09 1.087018758891356993e+04 1.045105641415375430e+04 5.166797396278558153e+04 1.000000000000000000e+00
1.749060920463598013e+09 9.999185224132901567e+03 1.005914019578676380e+04 5.217391533182840067e+04 2.000000000000000000e+00
1.749060920519807577e+09 9.921497864817825757e+03 9.959907721186933486e+03 5.219266633038846339e+04 0.000000000000000000e+00
1.749060920519807577e+09 1.072943667839966656e+04 1.042111793088335071e+04 5.171484201980796934e+04 1.000000000000000000e+00
1.749060920519807577e+09 9.993067996785877767e+03 1.005922021125670472e+04 5.217500575097188994e+04 2.000000000000000000e+00
1.749060920576017141e+09 9.918361971019197881e+03 9.960880832713057316e+03 5.219500629156078503e+04 0.000000000000000000e+00
1.749060920576017141e+09 1.048890262983444518e+04 1.047042586219498480e+04 5.178047365809516486e+04 1.000000000000000000e+00
1.749060920576017141e+09 9.999039522787905298e+03 1.007687703106065237e+04 5.217556044109128561e+04 2.000000000000000000e+00
1.749060920632226706e+09 9.920975925310069215e+03 9.958275984205971326e+03 5.219178367968948442e+04 0.000000000000000000e+00
1.749060920632226706e+09 1.039730139777815202e+04 1.050398191670905726e+04 5.173952275384427048e+04 1.000000000000000000e+00
1.749060920632226706e+09 1.000410077944204750e+04 1.007818473378644012e+04 5.217215694015537883e+04 2.000000000000000000e+00
1.749060920688436270e+09 9.920194096890601941e+03 9.959893625169686857e+03 5.219270387574865163e+04 0.000000000000000000e+00
1.749060920688436270e+09 1.045260167908020230e+04 1.057279665991532056e+04 5.160078647609143081e+04 1.000000000000000000e+00
1.749060920688436270e+09 9.989460267447866499e+03 1.005102456112497021e+04 5.217498772422699403e+04 2.000000000000000000e+00
1.749060920744645596e+09 9.921516461558168885e+03 9.959761006745357008e+03 5.219199336206365115e+04 0.000000000000000000e+00
1.749060920744645596e+09 1.040520081990594190e+04 1.060534731456014197e+04 5.161536936376746598e+04 1.000000000000000000e+00
1.749060920744645596e+09 9.967238099389427589e+03 1.004557359582923527e+04 5.217805783148700721e+04 2.000000000000000000e+00
1.749060920800855160e+09 9.919960487007081610e+03 9.959426641310239575e+03 5.219190276641414675e+04 0.000000000000000000e+00
1.749060920800855160e+09 1.070745786464912817e+04 1.063082344737215499e+04 5.159021266478034522e+04 1.000000000000000000e+00
1.749060920800855160e+09 9.977916660720034997e+03 1.007267293058559699e+04 5.217529430640165083e+04 2.000000000000000000e+00
1.749060920857064724e+09 9.915780244113258959e+03 9.959259158560997093e+03 5.219294876129970362e+04 0.000000000000000000e+00
1.749060920857064724e+09 1.072975324632410775e+04 1.073753541427384880e+04 5.155430521433225658e+04 1.000000000000000000e+00
1.749060920857064724e+09 9.958331179567807339e+03 1.006391073177138605e+04 5.218032065957228042e+04 2.000000000000000000e+00
1.749060920913274288e+09 9.916800971547452718e+03 9.960624212649876426e+03 5.219415323732673278e+04 0.000000000000000000e+00
1.749060920913274288e+09 1.085901531208110646e+04 1.071292927869487357e+04 5.152695055552970734e+04 1.000000000000000000e+00
1.749060920913274288e+09 9.994594544750594650e+03 1.005572116645411552e+04 5.217460699215412751e+04 2.000000000000000000e+00
1.749060920969483614e+09 9.920993056168592375e+03 9.958403569259924552e+03 5.219042380091668019e+04 0.000000000000000000e+00
1.749060920969483614e+09 1.063285902628877375e+04 1.083427136396209607e+04 5.140514241088497511e+04 1.000000000000000000e+00
1.749060920969483614e+09 9.983071576656529942e+03 1.004677584570604085e+04 5.217726570295970305e+04 2.000000000000000000e+00
1.749060921025693178e+09 9.916806488249656468e+03 9.956737943345213353e+03 5.219400864057903527e+04 0.000000000000000000e+00
1.749060921025693178e+09 1.058751604996512833e+04 1.114596617852667259e+04 5.138407780049882422e+04 1.000000000000000000e+00
1.749060921025693178e+09 9.994169887994255987e+03 1.004386630032794710e+04 5.217742825005339546e+04 2.000000000000000000e+00
1.749060921081902742e+09 9.918357869283661785e+03 9.960317197866328570e+03 5.219559520237276593e+04 0.000000000000000000e+00
1.749060921081902742e+09 1.068558334480706799e+04 1.106668360272094651e+04 5.143848823068436468e+04 1.000000000000000000e+00
1.749060921081902742e+09 9.986658364612758305e+03 1.006798149462943184e+04 5.217524742354710179e+04 2.000000000000000000e+00
